geography_type,geography_code,geography_name,state,remoteness,parent_geography_codes,latitude,longitude,area_sqkm,population,geography_vintage,reliability_flag
ndia_service_area,TAS South East,TAS South East,,Remote Australia,,-42.60901462377421,147.5619571154449,19090.8905,131947.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,TAS South West,TAS South West,,Inner Regional Australia,,-43.28769893824031,146.81566315748185,6426.5231,167830.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Toowoomba,Toowoomba,,Very Remote Australia,,-27.050931310992535,149.16622493424086,396526.6343,294745.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Townsville,Townsville,,Very Remote Australia,,-18.44784548453703,142.95670479538884,448024.0894,280540.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Unincorporated NSW,Unincorporated NSW,,Remote Australia,,,,93208.9194,975.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Unincorporated NT,Unincorporated NT,,Remote Australia,,,,19792.8884,8207.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Unincorporated SA,Unincorporated SA,,Very Remote Australia,,,,619426.0858,3001.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Unincorporated Vic,Unincorporated Vic,,Outer Regional Australia,,,,283.1903,917.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Western Adelaide,Western Adelaide,,Major Cities of Australia,,-34.90651569195741,138.53312150429795,91.8762,197388.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Western District,Western District,,Outer Regional Australia,,-37.6078857547675,142.78371455685752,56838.23790000001,153831.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Western Melbourne,Western Melbourne,,Major Cities of Australia,,-37.868013156502634,144.73914780596263,718.2442,864515.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Western NSW,Western NSW,,Outer Regional Australia,,-32.17635844382854,148.34054491476235,249799.4106,289419.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Western Sydney,Western Sydney,,Major Cities of Australia,,-33.62984196847731,150.94136436284327,781.5853,1207980.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Wheat Belt,Wheat Belt,,Outer Regional Australia,,-31.760197909864512,116.78888849533436,158615.4385,81725.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Yorke and Mid North,Yorke and Mid North,,Outer Regional Australia,,-34.19827795459763,137.8267998358712,34850.6503,79930.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
